fid,terrain,,,,
606,Cv/Rks,,,,
607,Rs-V,,,,
608,Rs=aCck-RbAA,,,,
609,Rs,,,,
610,aCk,,,,
611,Mbv,,,,
612,Lp,,,,
613,Mv=Cv,,,,
614,fgFGs=Cs=Mv/Rs-V,,,,
615,FAp/Ft-B,,,,
616,Mv/Cv,,,,
617,FGt,,,,
618,FGt,,,,
619,aCh,,,,
620,Cv/Ra,,,,
621,Cv/Rs-V,,,,
622,Cc,,,,
623,Cvb,,,,
624,Rha,,,,
625,Rk/Cv,,,,
626,Cv/Rs-RA,,,,
627,/Mw/Rh,,,,
628,Mbv=Cv,,,,
629,Mbv,,,,
630,Rs=Cv,,,,
631,Cv/Rsh,,,,
632,Cv/Rs-AR,,,,
633,Mv=Cv-V,,,,
634,Cv=Mv/Rs-VRAsd,,,,
635,Ck-A,,,,
636,Cv=Mv/Rs,,,,
637,Mbv/Cv-VRAsd,,,,
638,/Mw=Cw/Rh,,,,
639,Cfh=Rd,,,,
640,Mbv=Cv,,,,
641,Mbv=Cv-VR,,,,
642,Mbv,,,,
643,Cf,,,,
644,Fp,,,,
645,Mbv/Rs-V,,,,
646,Cf,,,,
647,Mv=Cv/Rs-V,,,,
648,Cca,,,,
649,Mv=Cv-V,,,,
650,Cv/Rs-R,,,,
651,/Cw/Rh,,,,
652,Cv,,,,
653,Fp,,,,
654,Cv/Mv/Rs-V,,,,
655,Rs,,,,
656,Cv=Mv=V,,,,
657,Mbv,,,,
658,Mbv=Cv,,,,
659,Cv-A,,,,
660,Mv=Cv,,,,
661,Cf,,,,
662,Mbu,,,,
663,Muh,,,,
664,/Mw/Rh,,,,
665,gsFGbu,,,,
666,gFGt,,,,
667,Cv/Mw/-VR/Ras,,,,
668,Us-V/Rs,,,,
669,gFGt,,,,
670,Cf,,,,
671,Mbw,,,,
672,Ua,,,,
673,Mw=Cv/R,,,,
674,gFGt,,,,
675,Rs=Ca,,,,
676,FGt,,,,
677,Cv/Rs,,,,
678,Mv/gFGt,,,,
679,Ua-V,,,,
680,gFAp-B,,,,
681,Cf,,,,
682,Mw/R,,,,
683,Cv/Mw/Ras,,,,
684,gFGt,,,,
685,rCaf,,,,
686,Cf,,,,
687,sgFp,,,,
688,Ff,,,,
689,sgFGs/Ms/$LGs-RdsV/Ms/gFG,,,,
690,Cf,,,,
691,Usa,,,,
692,gFt,,,,
693,FGt,,,,
694,gFGt,,,,
695,rCa/Rs,,,,
696,Ua,,,,
697,Mb-F,,,,
698,Cf,,,,
699,gFGt,,,,
700,Cv/Rs,,,,
701,Cv/Mv,,,,
702,Cvb,,,,
703,Mbv,,,,
704,Cv/Rs,,,,
705,Mbv/Cv,,,,
706,Cv/Mv,,,,
707,Cv/Rs-V,,,,
708,Cv/Mv-Rs,,,,
709,Ff,,,,
710,Cv,,,,
711,Mvb/Cv,,,,
712,Us,,,,
713,Cv=Mv/Rs-VR,,,,
714,Cvb-V,,,,
715,Cv,,,,
716,Cv/Rah,,,,
717,Rs,,,,
718,Mvb/Rs,,,,
719,Mvb=Cv,,,,
720,Cv/Rs-VRs,,,,
721,Cv/Mv,,,,
722,Cv/Rs-VR,,,,
723,Cv/Rsa,,,,
724,Rs/Cv,,,,
725,Cv=Mv,,,,
726,Cv/Rak-A,,,,
727,Mb/Cv,,,,
728,Cvb-V,,,,
729,Mvb,,,,
730,Lp/Cc,,,,
731,Cv/Mv,,,,
732,Cv=Mv,,,,
733,Lp,,,,
734,Fp,,,,
735,/Mw/Lp/Rh,,,,
736,Cvb,,,,
737,Cv=Mv,,,,
738,Mvb/Cv-VF,,,,
739,aCck-A,,,,
740,Rs,,,,
741,Cv/Mv,,,,
742,Fp,,,,
743,Cv=Mv,,,,
744,Rs-V,,,,
745,Rs,,,,
746,aCcw/Rh,,,,
747,Cv,,,,
748,aCck/Rs-ARbA,,,,
749,/Cw/Rhk,,,,
750,Rs,,,,
751,Cv/Rs-AR,,,,
752,aCck-A,,,,
753,Ch,,,,
754,Mvb/Cv,,,,
755,Cv/Mv,,,,
756,Cv=Mvb-V,,,,
757,Mvb/Cv,,,,
758,Mbv/Cv-V,,,,
759,Cv=Mv/Rs-V,,,,
760,Ca,,,,
761,Caf,,,,
762,Cv/Rs-V,,,,
763,Cv/Rs,,,,
764,Cw/Rau,,,,
765,Rs,,,,
766,Cck/Rs-ARbA,,,,
767,Cv=Rs-A,,,,
768,Cv,,,,
769,/Cw/Rhs,,,,
770,Cv/Ras,,,,
771,Cv=Mv/Rs,,,,
772,Cv/Mv/Rs-VRds,,,,
773,/Mw/Rsh,,,,
774,Rs/Cv-AR,,,,
775,rCvc/Rs-VAR,,,,
776,/Mw/Rh,,,,
777,Rs=Cv,,,,
778,Ua-FV,,,,
779,Cvb,,,,
780,Cv=Mv-V,,,,
781,Mv=Cv,,,,
782,Rs=Cv,,,,
783,Cv=Mv/Rs,,,,
784,Cv/Rs,,,,
785,Cv/Rs-V,,,,
786,Cv/Rs,,,,
787,Cv/Rs,,,,
788,Cv=Mv,,,,
789,Cv=Rs-A,,,,
790,Cv/Rs,,,,
791,Mv=Cv,,,,
792,Mv=Cv,,,,
793,Cv/Rs,,,,
794,Rs/Cv,,,,
795,Cv/Rkh,,,,
796,Mvb/Cv,,,,
797,Cc-A,,,,
798,aCcca-A,,,,
799,Mvb/Cv,,,,
800,Cv/Ra,,,,
801,Rs,,,,
802,Cv/Rs,,,,
803,Mv/Cv/Rs,,,,
804,Cv=Rs-V,,,,
805,Mvb/Cv,,,,
806,Rsr/aCv-AR,,,,
807,Mv/rCv,,,,
808,Cvc/Rs-AR,,,,
809,Rs/Cv,,,,
810,Cv/R,,,,
811,Rs=Cav-NA,,,,
812,Mb/Rk,,,,
813,Mv/Cv,,,,
814,Ccf-A,,,,
815,Lp,,,,
816,Cav/Rs-A,,,,
817,Cf-A,,,,
818,Mvb/Rh,,,,
819,gFGt,,,,
820,Mw/Ra,,,,
821,Us/VR,,,,
822,$sFv-gFp,,,,
823,bFf,,,,
824,sgFGu-$sM,,,,
825,Mw=Cw/R,,,,
826,sgFGs/Ms/$LGs-Rd,,,,
827,Mw/Rh,,,,
828,Mur,,,,
829,Mw/Rh,,,,
830,sgFt,,,,
831,FAp/Ft,,,,
832,Rs/Cv-V,,,,
833,Cv=Mv,,,,
834,Rs/Cv,,,,
835,Cv/Rs-R,,,,
836,Cv/Rk,,,,
837,Mbv/rCv,,,,
838,Rs=aCv-RbA,,,,
839,Cv=Mv/Rs,,,,
840,Mbv,,,,
841,Cv/Rs,,,,
842,Mbv,,,,
843,Mv=Cv/Rs-V,,,,
844,Mv/Cv,,,,
845,Mbv/Cv,,,,
846,aCs-RbA,,,,
847,Mv/Cv,,,,
848,Cv-V,,,,
849,aCh,,,,
850,Mb-V,,,,
851,Mbv,,,,
852,gFpt,,,,
853,Mbv-V,,,,
854,FGf,,,,
855,Cf,,,,
856,Mbv/Cv-V,,,,
857,Caf,,,,
858,Cv/Rs-AR,,,,
859,Cv/Rs,,,,
860,Cv=Rs-VA,,,,
861,Cv=Mv,,,,
862,Rs-RAV,,,,
863,Rs-A,,,,
864,Rhs/aCv,,,,
865,Cv/Rs/Mv,,,,
866,Rhs/rCv-A,,,,
867,Mb-V,,,,
868,Cv/Rs-AR,,,,
869,Cv/Rs,,,,
870,Cv/Mbv-V,,,,
871,Ff,,,,
872,Cv/Rs-A,,,,
873,Mbv/Cv-V,,,,
874,arCac-A,,,,
875,aCc-RbAs,,,,
876,NTA,,,,
877,Cv/Rs,,,,
878,Rs-A,,,,
879,Cv=Rs-A,,,,
880,Rs/Cv-ARV,,,,
881,Rs/Cv-A,,,,
882,Rs,,,,
883,arCv,,,,
884,Cca,,,,
885,Ca-RbA,,,,
886,Rhk/aCv,,,,
887,Ckc-A,,,,
888,Rs-AV,,,,
889,Rs,,,,
890,Rs/Cv,,,,
891,Rs/Cv-AVR,,,,
892,Rkh/aCv-N,,,,
893,aCkc-ARbA,,,,
894,arCak-ARAsb,,,,
895,rCv=Rs-A,,,,
896,arCac-A,,,,
897,Rha/Cv,,,,
898,arCvk/Rs-VARbAs,,,,
899,sgFpt,,,,
900,Cv/Rs-V,,,,
901,Cf,,,,
902,aCac-AR,,,,
903,Cv=Rs-A,,,,
904,Rs-A,,,,
905,/Cw/Rhs,,,,
906,Rk/aCv,,,,
907,Mv/Rs,,,,
908,Cv=Rs-VA,,,,
909,Rs,,,,
910,Mbv=Cv/Rs,,,,
911,aCca-RbA,,,,
912,Cv/Ra,,,,
913,Rs,,,,
914,Cvb/Rs-A,,,,
915,aCa-RbA,,,,
916,Fp,,,,
917,aCac-ARbA,,,,
918,Cv=Mv,,,,
919,aCv-ARbA,,,,
920,Fj,,,,
921,aCv/Rs-RbA,,,,
922,Cv=Mv,,,,
923,Fp,,,,
924,Mvb/Cvb-A,,,,
925,Mb,,,,
926,Cv/Mv,,,,
927,arCvk-VARbAs,,,,
928,Rs=arCv-VARbAs,,,,
929,sCf,,,,
930,Cvb-RbAs,,,,
931,Ckf-ARbA,,,,
932,Mw=Cv,,,,
933,Mbv,,,,
934,Rar/Cv,,,,
935,Cva/Rs-A,,,,
936,Rkh=Cv-A,,,,
937,/Cv=Mv/Rsk,,,,
938,Cv=Mv,,,,
939,aCak-RbA,,,,
940,Lp,,,,
941,aCav/Rh-A,,,,
942,aCk,,,,
943,Fp,,,,
944,Rs-A,,,,
945,Rs/Cv-AR,,,,
946,aCkc-ARbA,,,,
947,Cv=Mv,,,,
948,Rs-AR,,,,
949,Rhk=aCa-N,,,,
950,Rsk=aCa-N,,,,
951,Rsh,,,,
952,Rs-A,,,,
953,Rsh/arCv-A,,,,
954,aCa,,,,
955,rCv/Rhs,,,,
956,arCv=Mv-RAV,,,,
957,Cv/Rs,,,,
958,arCv-AVR,,,,
959,sMa/Cv,,,,
960,Mvb,,,,
961,Rs-AR,,,,
962,Rs-AR,,,,
963,Cv=Mv-R,,,,
964,Mv/Cv,,,,
965,aCk-RbA,,,,
966,Ms/Cv-V,,,,
967,Mbv,,,,
968,Mbv/Cv,,,,
969,Cv=Rs-VA,,,,
970,Cv/Rs-AR,,,,
971,Cv=Mv,,,,
972,Mbv/Cv,,,,
973,rCv=Mv/Rs,,,,
974,sMb,,,,
975,Cv/Rs-VAR,,,,
976,rCv/Rs-A,,,,
977,rCv/Rs,,,,
978,Rs=Cv-A,,,,
979,Cv=Rs-A,,,,
980,Rs=rCv/Ms/Rs,,,,
981,Mbv/Cv,,,,
982,Cv/sMv-A,,,,
983,sMv/rCv,,,,
984,rCv-A,,,,
985,Mv/Cbv,,,,
986,FcA/Cbv-A,,,,
987,Cv/Rs-AR,,,,
988,aCa-ARbA,,,,
989,Rs/Cv-AVR,,,,
990,Rs-AR,,,,
991,Rh/rCv-A,,,,
992,Rsh/aCa-AR,,,,
993,aCa-AR,,,,
994,Rs,,,,
995,/Mw=Cw/Rh,,,,
996,Cf,,,,
997,NTA,,,,
998,/Cw/Rh,,,,
999,C=MvRs,,,,
1000,aCa-ARb,,,,
1001,NTA,,,,
1002,Mv/Cv,,,,
1003,Mv/Cv,,,,
1004,Rs-A,,,,
1005,Rs-AR,,,,
1006,Rh/aCv,,,,
1007,NTA,,,,
1008,aCa,,,,
1009,arCav/Rs-A,,,,
1010,Rs/Cv-AR,,,,
1011,Rs/Cv-R,,,,
1012,aCa-AR,,,,
